Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787910119,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1787910120,10,,Aggregated,0.000000,0.000000,500,700,700,710,720,720,720,720,720,720,720,14,0,490.0,505.57381080995714,159.92521890439093,721.7738700564951,2153.714285714286
1787910121,20,,Aggregated,0.000000,0.000000,700,720,740,770,800,870,900,900,900,900,900,22,0,670.0,583.8935536078432,159.92521890439093,904.1182259097695,3584.2727272727275
1787910122,30,,Aggregated,0.000000,0.000000,720,790,870,900,1400,1400,1500,1500,1500,1500,1500,43,0,720.0,712.1597795942148,157.3733559343964,1462.2326188255101,3896.7441860465115
1787910123,40,,Aggregated,7.500000,0.000000,720,800,900,1000,1300,1400,1500,1500,1500,1500,1500,61,0,720.0,709.595743952258,157.3733559343964,1462.2326188255101,3740.7868852459014
1787910124,50,,Aggregated,7.333333,0.000000,760,900,1000,1100,1200,1400,1500,1500,1500,1500,1500,82,0,750.0,756.2266362166578,157.3733559343964,1462.2326188255101,4387.8536585365855
1787910125,60,,Aggregated,11.750000,0.000000,790,1000,1100,1300,1500,1600,1900,2200,2200,2200,2200,94,0,790.0,863.5691292707788,157.3733559343964,2152.6183229871094,4514.648936170212
1787910126,70,,Aggregated,12.800000,0.000000,790,1000,1100,1400,1500,1600,2100,2200,2200,2200,2200,95,0,790.0,876.4386108169626,157.3733559343964,2152.6183229871094,4467.515789473684
1787910127,80,,Aggregated,13.833333,0.000000,1000,1500,1700,1900,2200,2200,2400,2400,2500,2500,2500,133,0,1000.0,1167.4267799519982,157.3733559343964,2477.216004859656,5124.165413533835
1787910128,80,,Aggregated,13.428571,0.000000,1100,1500,1800,1900,2200,2300,2300,2400,2500,2500,2500,169,0,1100.0,1246.205502411505,157.3733559343964,2477.216004859656,5138.591715976331
1787910129,80,,Aggregated,12.625000,0.000000,1100,1500,1700,1900,2200,2300,2300,2400,2500,2500,2500,178,0,1100.0,1244.1553845020596,157.3733559343964,2477.216004859656,5162.297752808989
1787910130,80,,Aggregated,15.444444,0.000000,1200,1500,1800,1900,2200,2200,2300,2400,2500,2500,2500,184,0,1100.0,1259.0582278891184,157.3733559343964,2477.216004859656,5122.711956521739
1787910131,80,,Aggregated,17.000000,0.000000,1200,1600,1800,1900,2200,2300,2500,2900,3400,3400,3400,188,0,1200.0,1292.8664263850574,157.3733559343964,3381.8902249913663,5318.515957446809
1787910132,80,,Aggregated,17.900000,0.000000,1300,1600,1900,2000,2300,2900,3500,4400,4400,4400,4400,196,0,1300.0,1387.85938869411,157.3733559343964,4426.340751815587,5529.367346938776
1787910133,80,,Aggregated,17.000000,0.000000,1400,1800,2000,2200,3200,3800,4600,4900,5100,5100,5100,211,0,1400.0,1580.8490071152182,157.3733559343964,5126.161042135209,5691.014218009479
1787910134,80,,Aggregated,16.600000,0.000000,1500,2000,2300,3000,3800,4400,4900,4900,5100,5100,5100,238,0,1500.0,1829.3347503322748,157.3733559343964,5126.161042135209,5852.134453781513
1787910135,80,,Aggregated,14.900000,0.000000,1500,2100,2400,3100,3800,4400,4800,4900,5100,5100,5100,269,0,1500.0,1873.9366362323174,157.3733559343964,5126.161042135209,6053.550185873606
1787910136,80,,Aggregated,14.800000,0.000000,1500,2000,2400,2900,3800,4400,4800,4900,5100,5100,5100,284,0,1500.0,1785.4682876036543,46.090696938335896,5126.161042135209,6198.31338028169
1787910137,80,,Aggregated,15.500000,0.000000,1400,2000,2300,2900,3800,4400,4800,4900,5100,5100,5100,293,0,1400.0,1739.1664965075056,46.090696938335896,5126.161042135209,6220.177474402731
1787910138,80,,Aggregated,17.500000,0.000000,1400,2000,2300,2700,3800,4400,4800,4900,5100,5100,5100,297,0,1400.0,1726.3920847224604,46.090696938335896,5126.161042135209,6241.222222222223
1787910139,80,,Aggregated,18.300000,0.000000,1400,2000,2300,2700,3800,4400,4800,4900,5100,5100,5100,302,0,1400.0,1729.5146349313304,46.090696938335896,5126.161042135209,6281.288079470199
1787910140,80,,Aggregated,15.400000,0.000000,1500,2000,2300,2700,3800,4400,4800,4900,5100,5100,5100,309,0,1500.0,1745.2168447548722,46.090696938335896,5126.161042135209,6341.8932038834955
1787910141,80,,Aggregated,15.400000,0.000000,1500,2000,2300,2700,3800,4400,4800,4900,5100,5100,5100,309,0,1500.0,1745.2168447548722,46.090696938335896,5126.161042135209,6341.8932038834955
1787910143,80,,Aggregated,12.300000,0.000000,1500,2100,2400,2900,3800,4600,4900,4900,5100,5100,5100,314,0,1500.0,1789.627742889088,46.090696938335896,5126.161042135209,6408.570063694267
1787910144,80,,Aggregated,12.400000,0.000000,1500,2100,2500,3100,4000,4700,4900,5100,5500,5500,5500,320,0,1500.0,1849.1685222186788,46.090696938335896,5451.902819098905,6465.934375
1787910145,80,,Aggregated,12.100000,0.000000,1600,2200,3000,3500,4700,4900,5400,5500,6200,6200,6200,338,0,1600.0,2023.2332114229453,46.090696938335896,6191.579592879862,6419.502958579882
1787910146,80,,Aggregated,10.800000,0.000000,1800,2500,3600,4000,4900,5500,6300,6400,6800,6800,6800,368,0,1800.0,2287.4333255313104,46.090696938335896,6842.668565921485,6555.649456521739
1787910147,80,,Aggregated,10.000000,0.000000,1900,2700,3700,4200,4900,5500,6300,6400,6800,6800,6800,390,0,1900.0,2342.4294432583383,46.090696938335896,6842.668565921485,6662.292307692308
1787910148,80,,Aggregated,10.000000,0.000000,1800,2700,3600,4000,4900,5500,6300,6400,6800,6800,6800,403,0,1800.0,2308.828557586695,46.090696938335896,6842.668565921485,6667.734491315136
1787910149,80,,Aggregated,9.500000,0.000000,1800,2600,3600,4000,4900,5500,6300,6400,6800,6800,6800,410,0,1800.0,2287.641411592116,46.090696938335896,6842.668565921485,6662.126829268293
1787910150,80,,Aggregated,10.400000,0.000000,1800,2500,3600,4000,4900,5500,6300,6400,6800,6800,6800,412,0,1800.0,2282.576863851186,46.090696938335896,6842.668565921485,6663.004854368932
1787910151,80,,Aggregated,11.000000,0.000000,1800,2600,3600,4000,4900,5500,6300,6400,6800,6800,6800,419,0,1800.0,2286.3363093287553,46.090696938335896,6842.668565921485,6760.72553699284
1787910152,80,,Aggregated,11.300000,0.000000,1900,2600,3500,4000,4900,5400,6300,6400,6800,6800,6800,428,0,1900.0,2296.3096859672314,46.090696938335896,6842.668565921485,6849.698598130841
1787910153,80,,Aggregated,11.000000,0.000000,2000,2700,3500,3900,4800,5400,6300,6400,6800,6800,6800,450,0,2000.0,2328.490904401988,46.090696938335896,6842.668565921485,6896.22
1787910154,80,,Aggregated,11.000000,0.000000,2000,2800,3500,3900,4800,5300,6300,6400,6800,6800,6800,466,0,2000.0,2348.0248315991284,46.090696938335896,6842.668565921485,6936.969957081545
1787910155,80,,Aggregated,11.900000,0.000000,2100,2800,3400,3900,4800,5300,6300,6400,6800,6800,6800,477,0,2100.0,2364.709933414329,46.090696938335896,6842.668565921485,6914.002096436058
1787910156,80,,Aggregated,13.500000,0.000000,2200,2800,3400,3900,4800,5300,6300,6400,6800,6800,6800,493,0,2200.0,2383.473659024912,46.090696938335896,6842.668565921485,6943.47261663286
1787910157,80,,Aggregated,13.900000,0.000000,2100,2800,3400,3800,4800,5300,6200,6400,6800,6800,6800,516,0,2100.0,2377.2950037874375,46.090696938335896,6842.668565921485,6903.246124031008
1787910158,80,,Aggregated,12.900000,0.000000,2100,2800,3400,3800,4800,5200,6200,6400,6800,6800,6800,532,0,2100.0,2340.1071295659476,46.090696938335896,6842.668565921485,6873.840225563909
1787910159,80,,Aggregated,12.500000,0.000000,2000,2700,3400,3800,4700,5200,6200,6400,6800,6800,6800,547,0,2000.0,2308.6426294284447,46.090696938335896,6842.668565921485,6861.303473491774
1787910160,80,,Aggregated,12.500000,0.000000,2000,2700,3300,3700,4700,5200,6100,6400,6800,6800,6800,558,0,2000.0,2287.8536288326063,46.090696938335896,6842.668565921485,6862.195340501792
1787910161,80,,Aggregated,12.800000,0.000000,2000,2700,3200,3700,4700,5100,6100,6400,6800,6800,6800,571,0,2000.0,2270.4068918524054,46.090696938335896,6842.668565921485,6838.486865148861
1787910162,80,,Aggregated,14.600000,0.000000,1900,2600,3100,3600,4700,5100,6100,6400,6800,6800,6800,585,0,1900.0,2256.0590248407684,46.090696938335896,6842.668565921485,6872.630769230769
1787910163,80,,Aggregated,15.200000,0.000000,2000,2600,3100,3600,4700,5100,6100,6400,6800,6800,6800,593,0,2000.0,2255.38393059937,46.090696938335896,6842.668565921485,6855.490725126476
1787910164,80,,Aggregated,15.500000,0.000000,2000,2700,3100,3600,4700,5100,6000,6300,6800,6800,6800,605,0,2000.0,2264.233077562237,46.090696938335896,6842.668565921485,6852.307438016529
1787910165,80,,Aggregated,14.200000,0.000000,2100,2700,3100,3500,4600,5100,6000,6300,6800,6800,6800,632,0,2100.0,2280.7781447596035,46.090696938335896,6842.668565921485,6849.522151898735
1787910166,80,,Aggregated,13.700000,0.000000,2000,2600,3000,3500,4500,5100,5900,6300,6800,6800,6800,655,0,2000.0,2260.4831050910793,46.090696938335896,6842.668565921485,6857.673282442748
1787910167,80,,Aggregated,15.300000,0.000000,2000,2600,3000,3400,4500,5100,5900,6300,6800,6800,6800,667,0,2000.0,2239.944601534814,46.090696938335896,6842.668565921485,6846.886056971514
1787910168,80,,Aggregated,16.100000,0.000000,2000,2600,3000,3400,4500,5100,5900,6300,6800,6800,6800,680,0,2000.0,2226.83478947318,46.090696938335896,6842.668565921485,6864.420588235294
1787910169,80,,Aggregated,15.200000,0.000000,2000,2500,2900,3400,4500,5000,5900,6300,6800,6800,6800,689,0,2000.0,2217.18867568141,46.090696938335896,6842.668565921485,6868.503628447024
1787910170,80,,Aggregated,15.200000,0.000000,2000,2500,2900,3400,4400,5000,5900,6300,6800,6800,6800,696,0,2000.0,2215.521790848606,46.090696938335896,6842.668565921485,6889.682471264367
1787910171,80,,Aggregated,14.200000,0.000000,2000,2500,2900,3400,4400,5000,5800,6300,6800,6800,6800,701,0,2000.0,2218.8567611353656,46.090696938335896,6842.668565921485,6897.904422253923
1787910172,80,,Aggregated,14.200000,0.000000,2000,2600,3000,3400,4400,5000,5800,6300,6800,6800,6800,705,0,2000.0,2226.6128179643647,46.090696938335896,6842.668565921485,6917.700709219858
1787910173,80,,Aggregated,13.800000,0.000000,2000,2600,3000,3400,4400,5000,5800,6300,6800,6800,6800,711,0,2000.0,2240.119086526748,46.090696938335896,6842.668565921485,6933.0365682137835
1787910174,80,,Aggregated,12.900000,0.000000,2000,2700,3100,3500,4400,5000,5800,6300,6800,6800,6800,728,0,2000.0,2271.344473503612,46.090696938335896,6842.668565921485,6958.642857142857
1787910175,80,,Aggregated,12.000000,0.000000,2100,2800,3300,3600,4600,5100,5700,6300,6800,6800,6800,754,0,2100.0,2332.6101079663454,46.090696938335896,6842.668565921485,7008.505305039787
1787910176,80,,Aggregated,12.500000,0.000000,2100,2700,3300,3500,4500,5000,5700,6300,6800,6800,6800,792,1,2100.0,2317.6556382589324,27.14626002125442,6842.668565921485,6968.958333333333
1787910177,80,,Aggregated,11.800000,0.000000,2100,2700,3300,3500,4500,5000,5700,6300,6800,6800,6800,801,1,2100.0,2293.9164174285215,27.14626002125442,6842.668565921485,6950.202247191011
1787910178,80,,Aggregated,13.600000,0.100000,2100,2700,3300,3500,4500,5000,5700,6300,6800,6800,6800,805,1,2100.0,2287.099611128663,27.14626002125442,6842.668565921485,6959.218633540373
1787910179,80,,Aggregated,13.400000,0.100000,2100,2700,3300,3500,4400,5000,5700,6300,6800,6800,6800,813,1,2100.0,2279.1742848130434,27.14626002125442,6842.668565921485,6977.2792127921275
1787910180,80,,Aggregated,13.400000,0.100000,2100,2700,3200,3500,4400,5000,5700,6300,6800,6800,6800,822,1,2100.0,2276.9594585900863,27.14626002125442,6842.668565921485,6970.278588807786
1787910181,80,,Aggregated,12.400000,0.100000,2100,2700,3200,3500,4400,5000,5700,6300,6800,6800,6800,838,1,2100.0,2280.403466914394,27.14626002125442,6842.668565921485,6980.58830548926
1787910182,80,,Aggregated,12.400000,0.100000,2100,2700,3200,3500,4400,5000,5700,6300,6800,6800,6800,848,1,2100.0,2291.906169253261,27.14626002125442,6842.668565921485,7014.820754716981
1787910183,80,,Aggregated,13.700000,0.100000,2200,2700,3300,3500,4400,5000,5600,6300,6800,6800,6800,871,1,2200.0,2315.552359091088,27.14626002125442,6842.668565921485,7031.374282433984
1787910184,80,,Aggregated,14.300000,0.100000,2200,2800,3300,3500,4400,4900,5600,6300,6800,6800,6800,882,1,2200.0,2327.980830320928,27.14626002125442,6842.668565921485,7037.027210884354
1787910185,80,,Aggregated,14.300000,0.100000,2200,2800,3300,3500,4300,4900,5600,6300,6800,6800,6800,891,1,2200.0,2329.771637527207,27.14626002125442,6842.668565921485,7038.84736251403
1787910186,80,,Aggregated,14.700000,0.100000,2200,2800,3300,3500,4200,4900,5500,6300,6800,6800,6800,901,1,2200.0,2337.735635837536,27.14626002125442,6842.668565921485,7072.384017758047
1787910187,80,,Aggregated,14.300000,0.100000,2200,2800,3300,3500,4200,4900,5500,6300,6800,6800,6800,918,1,2200.0,2351.616737592817,27.14626002125442,6842.668565921485,7078.029411764706
1787910188,80,,Aggregated,10.900000,0.000000,2200,2800,3300,3500,4200,4900,5500,6300,6800,6800,6800,935,1,2200.0,2357.2193835264343,27.14626002125442,6842.668565921485,7110.651336898396
1787910189,80,,Aggregated,11.700000,0.000000,2200,2800,3300,3500,4100,4900,5500,6300,6800,6800,6800,970,1,2200.0,2337.662453225516,27.14626002125442,6842.668565921485,7050.769072164949
1787910190,80,,Aggregated,12.700000,0.000000,2200,2700,3200,3500,4100,4900,5500,6300,6800,6800,6800,987,1,2200.0,2305.177265442502,27.14626002125442,6842.668565921485,7103.450861195542
1787910191,80,,Aggregated,14.500000,0.000000,2200,2700,3200,3500,4100,4900,5500,6300,6800,6800,6800,991,1,2200.0,2299.134157883477,27.14626002125442,6842.668565921485,7132.8072653884965
1787910192,80,,Aggregated,16.000000,0.000000,2200,2700,3200,3500,4100,4900,5500,6200,6700,6800,6800,1007,1,2200.0,2280.6788821387463,27.14626002125442,6842.668565921485,7136.79046673287
1787910193,80,,Aggregated,15.100000,0.000000,2200,2700,3200,3400,4100,4900,5500,6200,6700,6800,6800,1020,1,2200.0,2267.1289126482316,27.14626002125442,6842.668565921485,7131.2107843137255
1787910194,80,,Aggregated,15.200000,0.000000,2100,2700,3100,3400,4100,4900,5500,6200,6700,6800,6800,1033,1,2100.0,2256.8790911909173,27.14626002125442,6842.668565921485,7115.823814133591
1787910195,80,,Aggregated,14.800000,0.000000,2100,2700,3100,3400,4100,4800,5400,6200,6700,6800,6800,1052,1,2100.0,2253.357141697868,27.14626002125442,6842.668565921485,7132.649239543726
1787910196,80,,Aggregated,15.700000,0.000000,2100,2600,3100,3400,4000,4800,5400,6200,6700,6800,6800,1069,2,2100.0,2240.9438132075375,27.14626002125442,6842.668565921485,7106.20954162769
1787910197,80,,Aggregated,15.300000,0.000000,2100,2600,3000,3400,4000,4800,5400,6200,6700,6800,6800,1085,2,2100.0,2227.751521820048,27.14626002125442,6842.668565921485,7127.2506912442395
1787910198,80,,Aggregated,16.800000,0.100000,2100,2600,3000,3400,4000,4800,5400,6200,6700,6800,6800,1087,2,2100.0,2227.3013323604146,27.14626002125442,6842.668565921485,7132.0745170193195
1787910199,80,,Aggregated,16.500000,0.100000,2100,2600,3000,3400,4000,4800,5400,6200,6700,6800,6800,1100,2,2100.0,2226.6871636642395,27.14626002125442,6842.668565921485,7121.67
