Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,77,0,2400.0,2443.717834630425,256.670449860394,5088.002565084025,483.35064935064935,0.25748110106644123,0.0,2400,2700,3100,3300,4000,4400,5000,5100,5100,5100,5100
POST,/api/v1/auth/login/,80,0,1400.0,1354.4484116253443,486.0385158099234,2343.4306338895112,1544.625,0.26751283227682204,0.0,1400,1500,1900,2000,2200,2300,2300,2300,2300,2300,2300
GET,/api/v1/auth/me/,54,0,2000.0,2080.983219840736,56.73561291769147,5487.253323895857,975.9814814814815,0.1805711617868549,0.0,2000,2400,2800,2900,3300,3400,4000,5500,5500,5500,5500
GET,/api/v1/auth/my-recap/,39,0,2600.0,2513.7224067360735,1032.1966370102018,4826.154680922627,621.9487179487179,0.13041250573495075,0.0,2600,2800,3100,3300,3900,4100,4800,4800,4800,4800,4800
GET,/api/v1/auth/staff/,174,0,2200.0,2257.7888784948846,251.90192111767828,5113.149533048272,8941.0,0.581840410202088,0.0,2200,2600,2800,3000,3700,3900,4300,4400,5100,5100,5100
GET,/api/v1/auth/staff/[uuid]/,50,0,2000.0,2164.430593587458,209.32054496370256,4595.795564819127,471.82,0.16719552017301378,0.0,2000,2600,2700,3300,3600,3800,4600,4600,4600,4600,4600
GET,/api/v1/auth/staff/admin/permissions/,11,0,2300.0,2498.276724945754,962.7258819527924,4397.896552225575,1438.6363636363637,0.03678301443806303,0.0,2300,2900,4000,4000,4100,4400,4400,4400,4400,4400,4400
POST,/api/v1/auth/token/refresh/,51,18,2100.0,2231.756121527367,298.8433709833771,5357.523734914139,397.05882352941177,0.17053943057647405,0.06019038726228496,2100,2700,2900,3000,3200,3900,4500,5400,5400,5400,5400
GET,/api/v1/chat/conversations/,120,0,2200.0,2266.0694002426076,142.4333741888404,5462.692715926096,654.95,0.4012692484152331,0.0,2200,2600,2800,3000,3600,3900,4100,4600,5500,5500,5500
GET,/api/v1/chat/requests/,48,0,1900.0,2105.1149170962162,66.47270009852946,4910.264214966446,10841.0,0.16050769936609324,0.0,2000,2500,2700,2900,3500,4000,4900,4900,4900,4900,4900
GET,/api/v1/chat/staff-group/ [GET],73,0,2300.0,2349.3267305463246,77.74439896456897,4303.108730120584,30756.164383561645,0.24410545945260012,0.0,2300,2800,3100,3400,3800,3900,4100,4300,4300,4300,4300
POST,/api/v1/chat/staff-group/ [POST],73,0,2600.0,2570.2447617420135,50.731985829770565,4674.077174859121,267.52054794520546,0.24410545945260012,0.0,2600,3100,3400,3500,3800,4000,4500,4700,4700,4700,4700
GET,/api/v1/checkins/checked-in/,39,0,2200.0,2301.796111528977,222.78289403766394,4934.087459929287,673.0,0.13041250573495075,0.0,2200,2800,3300,3400,3800,3800,4900,4900,4900,4900,4900
GET,/api/v1/checkins/list/,44,0,2200.0,2183.6075320818713,124.99420996755362,3918.3592749759555,2826.0,0.14713205775225213,0.0,2300,2700,3000,3000,3300,3400,3900,3900,3900,3900,3900
GET,/api/v1/checkins/meal-stats/,46,0,2200.0,2486.5320222755977,841.6231721639633,4407.902042847127,7359.0,0.15381987855917267,0.0,2300,2900,3500,3600,4100,4300,4400,4400,4400,4400,4400
GET,/api/v1/checkins/network/,25,0,2400.0,2448.9041559398174,891.0666389856488,4282.652708003297,2440.0,0.08359776008650689,0.0,2400,3000,3100,3200,3300,3900,4300,4300,4300,4300,4300
GET,/api/v1/leaderboard/,282,0,2000.0,2081.886999141458,139.2742609605193,4808.522037928924,5187.0,0.9429827337757978,0.0,2000,2400,2500,2700,3400,3800,4200,4600,4800,4800,4800
GET,/api/v1/notifications/,570,0,2100.0,2143.707254708728,27.14626002125442,5021.026782924309,6644.0,1.9060289299723572,0.0,2100,2500,2700,2900,3500,3700,4500,4700,5000,5000,5000
GET,/api/v1/photos/,293,0,2200.0,2146.920282823596,58.83401003666222,5337.56830682978,8499.0,0.9797657482138608,0.0,2200,2500,2700,2900,3500,3800,4300,4800,5300,5300,5300
