Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,13,0,110.0,109.98893276645013,25.332316989079118,186.14441703539342,628.4615384615385,0.10870907276300835,0.0,110,150,150,150,180,190,190,190,190,190,190
POST,/api/v1/auth/login/,30,0,700.0,697.9800477934381,389.86422994639724,1120.1664430554956,1470.0666666666666,0.25086709099155774,0.0,710,780,810,820,1000,1000,1100,1100,1100,1100,1100
GET,/api/v1/auth/me/,11,0,57,97.37384573302485,34.76318100001663,351.7184889642522,743.2727272727273,0.09198460003023784,0.0,57,67,99,99,200,350,350,350,350,350,350
GET,/api/v1/auth/my-recap/,3,0,110.0,116.53510566490392,76.97451894637197,163.75244804657996,322.6666666666667,0.025086709099155776,0.0,110,110,160,160,160,160,160,160,160,160,160
GET,/api/v1/auth/staff/,46,0,76,102.01550135642047,27.194102993234992,420.717315049842,8941.0,0.38466287285372186,0.0,77,91,120,130,160,190,420,420,420,420,420
GET,/api/v1/auth/staff/[uuid]/,7,0,76,87.6818408557613,58.31619608215988,182.22884298302233,474.14285714285717,0.05853565456469681,0.0,76,78,83,83,180,180,180,180,180,180,180
GET,/api/v1/auth/staff/admin/permissions/,3,0,140.0,130.4761809684957,93.18702493328601,157.32578304596245,48.0,0.025086709099155776,0.0,140,140,160,160,160,160,160,160,160,160,160
POST,/api/v1/auth/token/refresh/,8,1,73,108.97191424737684,51.37165100313723,240.36106700077653,516.5,0.06689789093108206,0.008362236366385258,80,120,190,190,240,240,240,240,240,240,240
GET,/api/v1/chat/conversations/,29,0,77,96.53138458439759,47.93866607360542,239.2310380237177,245.10344827586206,0.2425048546251725,0.0,77,100,110,130,190,220,240,240,240,240,240
GET,/api/v1/chat/requests/,16,0,42,86.73006905155489,24.649651953950524,273.4678699634969,10050.0,0.13379578186216412,0.0,90,110,130,130,180,270,270,270,270,270,270
GET,/api/v1/chat/staff-group/ [GET],17,0,91,134.0957701219903,65.86758105549961,326.85428601689637,25365.117647058825,0.1421580182285494,0.0,91,160,180,210,230,330,330,330,330,330,330
POST,/api/v1/chat/staff-group/ [POST],17,0,62,99.74413938299917,49.607591005042195,402.89133903570473,258.2352941176471,0.1421580182285494,0.0,62,86,100,110,190,400,400,400,400,400,400
GET,/api/v1/checkins/checked-in/,5,0,72,78.07751917280257,53.146042046137154,116.58109293784946,3932.0,0.04181118183192629,0.0,72,78,78,120,120,120,120,120,120,120,120
GET,/api/v1/checkins/list/,6,0,170.0,202.48877218303582,79.37023206613958,371.6720800148323,56625.0,0.05017341819831155,0.0,180,180,250,250,370,370,370,370,370,370,370
GET,/api/v1/checkins/meal-stats/,9,0,49,65.33133922817393,26.431864011101425,155.40795703418553,7359.0,0.07526012729746732,0.0,49,50,57,140,160,160,160,160,160,160,160
GET,/api/v1/checkins/network/,13,0,83,102.71465729098193,64.67392994090915,300.502908998169,43423.0,0.10870907276300835,0.0,83,100,110,120,120,300,300,300,300,300,300
GET,/api/v1/leaderboard/,65,0,51,79.18999021192296,23.641368024982512,401.5514430357143,5187.0,0.5435453638150418,0.0,51,78,98,110,140,220,360,400,400,400,400
GET,/api/v1/notifications/,133,0,42,75.83212095778435,20.633034990169108,446.7082929331809,6644.0,1.1121774367292394,0.0,42,61,97,120,160,240,370,400,450,450,450
GET,/api/v1/photos/,82,0,48,81.52567604471498,23.90511892735958,407.8614159952849,8499.0,0.6857033820435912,0.0,48,63,91,120,200,270,360,410,410,410,410
GET,/api/v1/photos/selfie-points/,10,0,67,78.68572869338095,60.79208292067051,151.70350100379437,2658.0,0.08362236366385258,0.0,69,73,81,94,150,150,150,150,150,150,150
GET,/api/v1/polls/,7,0,310.0,376.7724287130737,127.45928892400116,1099.2354500340298,5472.571428571428,0.05853565456469681,0.0,310,340,400,400,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/schedule/sessions/,234,0,340.0,431.855118188223,143.87706096749753,1475.7469679461792,13066.42735042735,1.9567633097341504,0.0,350,460,530,600,990,1200,1300,1400,1500,1500,1500
GET,/api/v1/schedule/sessions/[id]/,7,0,78,106.71429884886103,65.46388601418585,206.16835402324796,512.1428571428571,0.05853565456469681,0.0,78,82,170,170,210,210,210,210,210,210,210
POST,/api/v1/schedule/sessions/[id]/bookmark/,5,0,69,87.88367959205061,56.61490198690444,138.02451197989285,40.0,0.04181118183192629,0.0,69,120,120,140,140,140,140,140,140,140,140
GET,/api/v1/speakers/,92,0,140.0,208.25585866417816,81.23367198277265,828.5991790471599,6462.0,0.7693257457074437,0.0,140,190,280,310,400,600,820,830,830,830,830
GET,/api/v1/speakers/ [for detail],23,0,140.0,192.45482461385268,88.1522869458422,507.82979000359774,6462.0,0.19233143642686093,0.0,140,210,260,280,390,400,510,510,510,510,510
GET,/api/v1/speakers/[id]/,23,0,68,113.92987404605779,48.87360997963697,343.43344799708575,669.3913043478261,0.19233143642686093,0.0,68,140,150,150,270,280,340,340,340,340,340
GET,/api/v1/sponsors/,74,0,70,91.00730589911896,53.922184044495225,250.069763045758,4593.0,0.6188054911125092,0.0,70,84,100,120,160,210,250,250,250,250,250
,Aggregated,988,1,110.0,205.03488112830647,20.633034990169108,1475.7469679461792,8316.085020242916,8.261889529988634,0.008362236366385258,110,170,230,310,500,770,1100,1200,1500,1500,1500
