Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,369,0,290.0,400.95270966901506,47.9777748696506,2451.055381912738,604.0325203252032,0.20502511584738783,0.0,290,410,560,670,890,1200,1500,1500,2500,2500,2500
POST,/api/v1/auth/login/,50,0,480.0,554.1601355047897,336.3965528551489,1170.402562012896,1478.58,0.027781181009131142,0.0,480,640,680,730,800,810,1200,1200,1200,1200,1200
GET,/api/v1/auth/me/,420,0,270.0,404.96474166700085,37.85656904801726,1896.9512770418078,906.9238095238095,0.2333619204767016,0.0,270,450,570,650,930,1200,1400,1600,1900,1900,1900
GET,/api/v1/auth/my-recap/,189,0,350.0,457.96591546460394,65.18465117551386,1681.5146079752594,609.7989417989418,0.10501286421451572,0.0,350,550,630,720,940,1300,1600,1700,1700,1700,1700
GET,/api/v1/auth/staff/,1056,0,280.0,381.23767838855696,39.858294185251,1739.403062965721,8941.0,0.5867385429128498,0.0,280,400,500,580,850,1200,1400,1500,1700,1700,1700
GET,/api/v1/auth/staff/[uuid]/,437,0,250.0,376.3203169442969,41.80235601961613,2459.70288105309,470.604118993135,0.24280752201980618,0.0,250,380,480,620,970,1200,1400,1700,2500,2500,2500
GET,/api/v1/auth/staff/admin/permissions/,75,0,250.0,454.18120302880806,47.19914379529655,2296.053308993578,1067.8,0.04167177151369671,0.0,250,490,660,710,1200,1500,1800,2300,2300,2300,2300
POST,/api/v1/auth/token/refresh/,304,264,280.0,430.1987393049977,37.737017031759024,2247.0155130140483,126.94736842105263,0.16890958053551736,0.14668463572821244,290,460,610,710,1100,1300,1500,1700,2200,2200,2200
GET,/api/v1/chat/conversations/,598,0,260.0,404.09044941099216,45.19626498222351,2310.5044460389763,423.59866220735785,0.33226292486920844,0.0,270,420,580,660,960,1300,1500,1900,2300,2300,2300
GET,/api/v1/chat/requests/,385,0,240.0,356.6892859459455,19.785162061452866,2339.684510137886,11334.0,0.2139150937703098,0.0,240,380,500,580,840,1100,1400,1600,2300,2300,2300
GET,/api/v1/chat/staff-group/ [GET],343,0,360.0,471.2066728636655,72.65988504514098,2444.5187989622355,30756.702623906705,0.19057890172263964,0.0,360,490,640,780,1100,1300,1400,1500,2400,2400,2400
POST,/api/v1/chat/staff-group/ [POST],367,0,280.0,411.0124718571686,43.34937990643084,2261.1451521515846,268.3133514986376,0.2039138686070226,0.0,280,430,560,630,950,1300,1500,1700,2300,2300,2300
GET,/api/v1/checkins/checked-in/,208,0,270.0,380.35825108594366,48.72692795470357,1710.6404330115765,928.0,0.11556971299798556,0.0,270,390,510,600,960,1200,1300,1400,1700,1700,1700
GET,/api/v1/checkins/list/,227,0,330.0,417.4245237998484,43.78438415005803,1832.587620941922,3957.0,0.1261265617814554,0.0,330,460,560,620,980,1200,1400,1600,1800,1800,1800
GET,/api/v1/checkins/meal-stats/,198,0,240.0,372.619460282772,20.948508055880666,1632.1297660470009,7359.0,0.11001347679615933,0.0,240,390,500,620,970,1200,1400,1600,1600,1600,1600
GET,/api/v1/checkins/network/,174,0,240.0,415.0218333106959,49.66195998713374,2580.2257540635765,3399.0,0.09667850991177637,0.0,260,420,590,680,940,1200,1600,2300,2600,2600,2600
GET,/api/v1/leaderboard/,1672,0,240.0,359.1285291219489,13.870269991457462,2524.9607709702104,5187.0,0.9290026929453454,0.0,240,390,520,600,870,1100,1400,1600,2400,2500,2500
GET,/api/v1/notifications/,3172,0,240.0,358.01371083409003,9.73058701492846,2584.457248914987,6644.0,1.7624381232192796,0.0,240,380,500,590,850,1200,1400,1600,2100,2600,2600
GET,/api/v1/photos/,1731,0,240.0,359.3187295465344,21.424412028864026,2333.632956026122,8499.0,0.9617844865361201,0.0,240,390,530,610,860,1100,1300,1500,2100,2300,2300
GET,/api/v1/photos/selfie-points/,204,0,310.0,430.77761767655795,63.87405307032168,2063.5984598193318,3598.0,0.11334721851725506,0.0,310,460,550,620,970,1200,1600,1800,2100,2100,2100
GET,/api/v1/polls/,117,0,650.0,782.7673207920714,116.65435507893562,2280.5011600721627,5465.538461538462,0.06500796356136687,0.0,650,1000,1200,1300,1600,2000,2200,2200,2300,2300,2300
GET,/api/v1/schedule/sessions/,5057,0,1200.0,1239.3214822601692,144.0984660293907,3951.202740892768,13015.636147913783,2.809788647263524,0.0,1200,1500,1700,1900,2300,2700,3000,3300,3700,4000,4000
GET,/api/v1/schedule/sessions/[id]/,200,0,320.0,440.67597636720166,48.763993894681334,2365.61238206923,593.94,0.11112472403652457,0.0,330,490,660,760,1000,1200,1500,1700,2400,2400,2400
POST,/api/v1/schedule/sessions/[id]/bookmark/,167,0,250.0,345.44502877669333,45.917618088424206,1559.115869924426,42.01197604790419,0.09278914457049801,0.0,250,360,450,500,860,1100,1200,1400,1600,1600,1600
GET,/api/v1/speakers/,1912,0,510.0,623.1648899238775,58.31866804510355,3157.8412640374154,6462.0,1.0623523617891748,0.0,510,720,870,970,1400,1600,1900,2000,2900,3200,3200
GET,/api/v1/speakers/ [for detail],354,0,530.0,658.6462698803194,35.52019293420017,2350.660947849974,6462.0,0.19669076154464848,0.0,530,800,960,1000,1400,1600,1900,2300,2400,2400,2400
GET,/api/v1/speakers/[id]/,354,0,270.0,373.56025038226534,20.372356055304408,1819.8632700368762,671.4067796610169,0.19669076154464848,0.0,270,410,500,610,880,1100,1300,1500,1800,1800,1800
GET,/api/v1/sponsors/,2023,0,270.0,368.4773089594815,18.846002873033285,2174.765666015446,4593.0,1.124026583629446,0.0,270,400,490,590,840,1100,1400,1600,2000,2200,2200
,Aggregated,22363,264,380.0,600.4741444586513,9.73058701492846,3951.202740892768,7374.432902562268,12.425411018143995,0.14668463572821244,380,630,850,1000,1500,1900,2400,2700,3500,3800,4000
