Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,433,0,55,59.123647800382166,30.068469932302833,339.7695040330291,606.6073903002309,0.24059674330492997,0.0,55,57,59,60,69,77,120,180,340,340,340
POST,/api/v1/auth/login/,50,0,340.0,341.800957378,300.5850319750607,391.74205902963877,1520.96,0.02778253386892956,0.0,340,350,350,370,380,390,390,390,390,390,390
GET,/api/v1/auth/me/,494,0,56,59.54968332226279,33.15028711222112,195.97749295644462,928.9858299595141,0.274491434625024,0.0,57,60,62,64,73,80,100,130,200,200,200
GET,/api/v1/auth/my-recap/,225,0,77,86.1384935149302,33.2226341124624,346.30672400817275,624.1733333333333,0.125021402410183,0.0,77,80,84,88,100,120,230,290,350,350,350
GET,/api/v1/auth/staff/,1184,0,64,69.18317364781271,23.958655074238777,403.7695028819144,8941.0,0.6578904020162519,0.0,64,67,69,71,81,95,140,190,360,400,400
GET,/api/v1/auth/staff/[uuid]/,507,0,54,57.663659229452115,38.05959387682378,270.7123360596597,468.42800788954634,0.2817148934309457,0.0,54,56,58,60,68,79,95,120,270,270,270
GET,/api/v1/auth/staff/admin/permissions/,85,0,52,65.90584642253816,37.40973910316825,413.14806789159775,1307.7529411764706,0.04723030757718025,0.0,52,61,78,84,90,96,130,410,410,410,410
POST,/api/v1/auth/token/refresh/,332,0,49,53.62480671596657,30.398056842386723,476.14033007994294,290.0,0.18447602488969225,0.0,49,51,54,56,64,71,87,120,480,480,480
GET,/api/v1/chat/conversations/,688,0,59,66.23931272499544,25.261045899242163,306.1430021189153,322.30523255813955,0.3822876660364707,0.0,59,62,66,70,90,100,140,190,310,310,310
GET,/api/v1/chat/requests/,439,0,58,62.03485405972071,25.33134794794023,214.53976794146,283.3143507972665,0.2439306473692015,0.0,58,60,62,64,75,99,120,150,210,210,210
GET,/api/v1/chat/staff-group/ [GET],399,1,84,89.74297392767922,11.179457884281874,246.95869907736778,30680.81954887218,0.22170462027405788,0.0005556506773785911,84,87,91,94,110,120,190,230,250,250,250
POST,/api/v1/chat/staff-group/ [POST],378,0,54,59.824634135193214,18.863962031900883,298.0167060159147,265.7195767195767,0.21003595604910746,0.0,54,57,59,62,69,84,170,180,300,300,300
GET,/api/v1/checkins/checked-in/,260,0,55,59.75317778513552,34.97917694039643,227.5417000055313,928.0,0.1444691761184337,0.0,55,57,59,62,71,88,130,190,230,230,230
GET,/api/v1/checkins/list/,214,0,62,66.28132463654799,37.69544488750398,197.41355092264712,3957.0,0.1189092449590185,0.0,62,65,68,70,81,90,110,160,200,200,200
GET,/api/v1/checkins/meal-stats/,225,0,28,30.740669219651156,14.58057900890708,200.72603598237038,7359.0,0.125021402410183,0.0,28,30,32,33,41,49,58,63,200,200,200
GET,/api/v1/checkins/network/,204,0,57,62.671499674929784,30.253672040998936,387.2263489756733,3399.0,0.11335273818523259,0.0,57,59,61,62,75,84,130,130,390,390,390
GET,/api/v1/leaderboard/,1920,0,70,74.47681799058046,25.56090196594596,385.02828287892044,1905.3463541666667,1.066849300566895,0.0,70,73,75,77,86,96,130,190,380,390,390
GET,/api/v1/notifications/,3604,0,87,88.62763558724765,26.883920188993216,580.3480120375752,6098.8817980022195,2.0025650412724425,0.0,87,92,96,99,120,150,200,250,500,580,580
GET,/api/v1/photos/,1963,0,62,65.39889780773201,20.956995896995068,351.14051890559494,783.0,1.0907422796941744,0.0,62,65,67,68,76,88,120,150,240,350,350
GET,/api/v1/photos/selfie-points/,222,0,72,74.99964408857564,52.45307320728898,299.596635857597,3598.0,0.12335445037804724,0.0,72,74,76,80,89,99,110,120,300,300,300
GET,/api/v1/polls/,158,0,120.0,148.42128338840425,59.19596692547202,686.4414650481194,5468.860759493671,0.0877928070258174,0.0,120,130,150,160,230,270,340,470,690,690,690
GET,/api/v1/schedule/sessions/,5877,0,170.0,200.78278623260013,91.36867080815136,978.5517761483788,13011.66921898928,3.2655590309539804,0.0,170,180,200,210,290,370,510,620,920,980,980
GET,/api/v1/schedule/sessions/[id]/,224,0,68,73.62734257393251,29.854226857423782,240.25546200573444,576.9821428571429,0.12446575173280441,0.0,68,70,72,75,89,110,160,210,240,240,240
POST,/api/v1/schedule/sessions/[id]/bookmark/,215,0,60,65.3900587303174,27.92898495681584,203.42176500707865,42.009302325581395,0.1194648956363971,0.0,60,63,66,69,80,100,150,160,200,200,200
GET,/api/v1/speakers/,2177,0,95,105.35642506991508,39.5426289178431,538.2378590293229,6462.0,1.209651524653193,0.0,95,99,100,110,130,170,230,300,510,540,540
GET,/api/v1/speakers/ [for detail],423,0,95,102.79776800223505,56.57338281162083,493.78241994418204,6462.0,0.23504023653114406,0.0,95,99,100,110,120,150,220,260,490,490,490
GET,/api/v1/speakers/[id]/,423,0,53,55.138335427286954,28.93596119247377,192.61660100892186,671.4539007092199,0.23504023653114406,0.0,53,56,58,60,68,78,87,98,190,190,190
GET,/api/v1/sponsors/,2194,0,59,63.15037742114491,20.441862987354398,304.71884296275675,4593.0,1.219097586168629,0.0,59,61,64,65,75,87,120,160,250,300,300
,Aggregated,25517,1,77,105.13977030076522,11.179457884281874,978.5517761483788,6297.88866246032,14.17853833466951,0.0005556506773785911,77,96,140,160,180,220,330,410,800,940,980
