Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/chat/staff-group/ [GET],43,0,620.0,628.4510993431214,72.84369796980172,1836.7721940157935,30395.81395348837,0.24004602482564036,0.0,620,750,860,910,1200,1400,1800,1800,1800,1800,1800
POST,/api/v1/chat/staff-group/ [POST],39,0,320.0,459.02081604939525,47.020494006574154,1486.0332940006629,269.3076923076923,0.21771616205116218,0.0,320,520,630,780,1000,1200,1500,1500,1500,1500,1500
GET,/api/v1/checkins/checked-in/,20,0,300.0,424.1407164488919,49.964279984124005,1219.5452409796417,3932.0,0.11164931387239085,0.0,370,530,630,860,920,1200,1200,1200,1200,1200,1200
GET,/api/v1/checkins/list/,22,0,330.0,471.51708382774484,77.17532606329769,1125.872732955031,56625.0,0.12281424525962994,0.0,380,570,710,720,1100,1100,1100,1100,1100,1100,1100
GET,/api/v1/checkins/meal-stats/,17,0,620.0,596.8947345116998,55.309801013208926,1810.7640489470214,7359.0,0.09490191679153223,0.0,620,790,840,950,1100,1800,1800,1800,1800,1800,1800
GET,/api/v1/checkins/network/,13,0,530.0,587.798439252835,85.43796406593174,1487.5927140237764,43423.0,0.07257205401705406,0.0,530,700,800,810,1000,1500,1500,1500,1500,1500,1500
GET,/api/v1/leaderboard/,164,0,310.0,421.277279600007,12.648039031773806,1858.2561520161107,5187.0,0.9155243737536051,0.0,310,520,630,690,940,1100,1600,1800,1900,1900,1900
GET,/api/v1/notifications/,311,0,320.0,447.5458992373384,20.051535917446017,1845.4539119265974,6644.0,1.7361468307156778,0.0,320,550,690,750,950,1300,1600,1600,1800,1800,1800
GET,/api/v1/photos/,145,0,280.0,422.9706516433186,22.679854999296367,1688.2484970847145,8499.0,0.8094575255748337,0.0,280,500,610,710,1100,1300,1600,1600,1700,1700,1700
GET,/api/v1/photos/selfie-points/,20,0,260.0,312.9352107527666,63.03757801651955,743.8034430379048,2658.0,0.11164931387239085,0.0,270,390,440,550,660,740,740,740,740,740,740
GET,/api/v1/polls/,12,0,950.0,949.9946598274013,238.5540190152824,1470.220964984037,5470.0,0.06698958832343452,0.0,1100,1200,1400,1400,1400,1500,1500,1500,1500,1500,1500
GET,/api/v1/schedule/sessions/,511,0,1300.0,1410.9928120529542,151.24923503026366,3368.4150730259717,13056.900195694716,2.8526399694395863,0.0,1300,1700,1900,2100,2500,2700,3000,3100,3400,3400,3400
GET,/api/v1/schedule/sessions/[id]/,14,0,440.0,532.1571273047344,92.72577101364732,1773.6600590869784,477.57142857142856,0.07815451971067361,0.0,440,510,610,880,940,1800,1800,1800,1800,1800,1800
POST,/api/v1/schedule/sessions/[id]/bookmark/,11,0,250.0,392.4037399701774,58.2023790339008,906.2770459568128,40.0,0.06140712262981497,0.0,250,530,750,750,770,910,910,910,910,910,910
GET,/api/v1/speakers/,160,0,690.0,810.0456789332384,92.27677597664297,2638.794015045278,6462.0,0.8931945109791268,0.0,710,960,1100,1300,1600,1800,2100,2300,2600,2600,2600
GET,/api/v1/speakers/ [for detail],40,0,670.0,748.9583647169638,97.14662295300514,2109.156071092002,6462.0,0.2232986277447817,0.0,680,890,1200,1200,1500,1600,2100,2100,2100,2100,2100
GET,/api/v1/speakers/[id]/,40,0,320.0,436.3221077393973,51.03368801064789,1123.8026019418612,670.075,0.2232986277447817,0.0,330,610,710,750,960,1100,1100,1100,1100,1100,1100
GET,/api/v1/sponsors/,177,0,420.0,489.1957760332047,34.163044998422265,1689.927208935842,4593.0,0.9880964277706591,0.0,420,570,680,750,1000,1200,1500,1600,1700,1700,1700
,Aggregated,2151,6,550.0,727.2325330384652,12.648039031773806,3368.4150730259717,8337.008368200837,12.007883706975637,0.03349479416171726,550,830,1000,1200,1700,2100,2500,2800,3200,3400,3400
