Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/auth/discover/,33,0,520.0,572.4618413633751,61.981400940567255,1845.3850829973817,650.3636363636364,0.18422136788944493,0.0,520,710,850,990,1100,1100,1800,1800,1800,1800,1800
POST,/api/v1/auth/login/,50,0,540.0,698.9028919232078,333.17056589294225,2036.8771799840033,1419.1,0.27912328468097714,0.0,560,700,790,850,1600,1800,2000,2000,2000,2000,2000
GET,/api/v1/auth/me/,38,0,310.0,453.06272569761956,51.74653907306492,1540.8462160266936,883.5,0.21213369635754264,0.0,350,450,720,840,1100,1300,1500,1500,1500,1500,1500
GET,/api/v1/auth/my-recap/,17,0,390.0,433.3244826480308,81.2469320371747,1032.965024933219,348.1764705882353,0.09490191679153223,0.0,390,650,700,780,1000,1000,1000,1000,1000,1000,1000
GET,/api/v1/auth/staff/,118,0,410.0,523.0893078447572,62.21842998638749,1856.3395469682291,8941.0,0.6587309518471061,0.0,420,570,670,870,1100,1500,1600,1700,1900,1900,1900
GET,/api/v1/auth/staff/[uuid]/,28,0,230.0,386.70421452012044,23.060720064677298,1498.2787909684703,476.67857142857144,0.15630903942134722,0.0,230,290,600,660,1100,1100,1500,1500,1500,1500,1500
GET,/api/v1/auth/staff/admin/permissions/,2,0,380.3943970706314,490.980077534914,380.3943970706314,601.5657579991966,2597.5,0.011164931387239086,0.0,600,600,600,600,600,600,600,600,600,600,600
POST,/api/v1/auth/token/refresh/,28,6,450.0,530.7139551815843,50.99968099966645,2131.27010804601,469.7142857142857,0.15630903942134722,0.03349479416171726,450,600,730,770,880,1800,2100,2100,2100,2100,2100
GET,/api/v1/chat/conversations/,48,0,260.0,397.0838714133909,43.33041701465845,1480.4048619698733,37.0,0.26795835329373807,0.0,270,510,580,620,920,930,1500,1500,1500,1500,1500
GET,/api/v1/chat/requests/,30,0,320.0,439.2629996679413,26.131882099434733,1436.7164169671014,10050.0,0.16747397080858628,0.0,340,550,690,810,900,1100,1400,1400,1400,1400,1400
