Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788079709,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788079710,10,,Aggregated,0.000000,0.000000,860,880,880,880,920,920,920,920,920,920,920,11,0,860.0,801.985506857322,93.40925118885934,923.6727061215788,2153.5454545454545
1788079711,20,,Aggregated,0.000000,0.000000,380,530,840,850,880,920,920,920,920,920,920,38,0,380.0,435.2338221230495,29.77128908969462,923.6727061215788,3270.2105263157896
1788079712,30,,Aggregated,0.000000,0.000000,350,410,510,550,860,880,920,920,920,920,920,59,0,350.0,365.7318495403407,29.77128908969462,923.6727061215788,3698.0677966101694
1788079713,40,,Aggregated,7.500000,0.000000,350,420,510,540,850,880,920,920,920,920,920,77,0,350.0,357.6565779830244,29.77128908969462,923.6727061215788,3557.4935064935066
1788079714,50,,Aggregated,12.666667,0.000000,350,410,500,510,680,860,880,920,920,920,920,108,0,340.0,326.2760807691073,29.77128908969462,923.6727061215788,3663.0
1788079715,60,,Aggregated,14.750000,0.000000,310,390,430,500,620,850,880,920,920,920,920,138,0,300.0,298.5261379643276,29.77128908969462,923.6727061215788,3631.557971014493
1788079716,70,,Aggregated,16.200000,0.000000,230,380,430,490,550,850,880,920,920,920,920,169,0,230.0,286.0230090063528,29.77128908969462,923.6727061215788,3876.1775147928993
1788079717,80,,Aggregated,18.166667,0.000000,180,380,420,470,530,680,860,880,920,920,920,212,0,180.0,265.17987167814147,29.77128908969462,923.6727061215788,4090.5896226415093
1788079718,90,,Aggregated,19.857143,0.000000,160,370,420,450,530,620,860,880,920,920,920,246,0,160.0,256.73189376219653,29.77128908969462,923.6727061215788,4330.276422764227
1788079719,100,,Aggregated,21.375000,0.000000,150,360,400,430,530,610,860,880,920,920,920,286,0,150.0,246.06583130112816,29.77128908969462,923.6727061215788,4354.293706293706
1788079720,110,,Aggregated,23.666667,0.000000,150,350,410,450,530,620,850,880,920,920,920,327,0,150.0,248.9576039120942,29.77128908969462,923.6727061215788,4376.703363914373
1788079721,120,,Aggregated,25.100000,0.000000,160,350,410,450,530,620,850,880,920,920,920,379,0,160.0,248.98871520317914,28.479059925302863,923.6727061215788,4580.451187335092
1788079722,130,,Aggregated,28.600000,0.000000,150,350,400,450,530,620,850,860,920,920,920,423,0,150.0,243.05704748257995,28.479059925302863,923.6727061215788,4772.25768321513
1788079723,140,,Aggregated,31.300000,0.000000,150,330,400,440,530,620,840,860,920,920,920,477,0,150.0,241.17175887965556,28.479059925302863,923.6727061215788,4970.433962264151
1788079724,150,,Aggregated,34.400000,0.000000,150,330,400,450,530,620,750,860,920,920,920,525,0,150.0,241.07181154812375,28.479059925302863,923.6727061215788,4966.544761904762
1788079725,150,,Aggregated,36.600000,0.000000,140,280,380,430,530,620,740,860,920,920,920,570,0,140.0,232.01017023039688,28.479059925302863,923.6727061215788,5134.850877192983
1788079726,150,,Aggregated,40.100000,0.000000,140,240,370,410,530,620,700,850,920,920,920,609,0,140.0,224.10172078267584,28.479059925302863,923.6727061215788,5162.042692939244
1788079727,150,,Aggregated,42.200000,0.000000,120,230,360,400,520,610,700,850,920,920,920,647,0,120.0,216.75423750512797,28.479059925302863,923.6727061215788,5296.1885625966
1788079728,150,,Aggregated,43.800000,0.000000,130,220,350,390,510,600,690,850,920,920,920,690,0,130.0,211.14878167897677,28.479059925302863,923.6727061215788,5433.607246376811
1788079729,150,,Aggregated,44.200000,0.000000,120,200,330,380,500,590,690,850,920,920,920,733,0,120.0,205.18829716886628,26.610265020281076,923.6727061215788,5568.2019099590725
1788079730,150,,Aggregated,43.800000,0.000000,120,190,300,370,500,590,680,850,920,920,920,782,0,120.0,199.19393745505863,22.17487315647304,923.6727061215788,5583.19820971867
1788079731,150,,Aggregated,44.300000,0.000000,110,180,270,360,490,560,680,850,920,920,920,822,0,110.0,194.06906439789057,22.17487315647304,923.6727061215788,5613.9294403892945
1788079732,150,,Aggregated,44.900000,0.000000,110,170,250,350,490,550,670,850,920,920,920,860,0,110.0,189.76502346746668,22.17487315647304,923.6727061215788,5656.8755813953485
1788079733,150,,Aggregated,45.400000,0.000000,110,170,240,340,470,550,670,850,920,920,920,900,0,110.0,185.78604326091914,22.17487315647304,923.6727061215788,5697.605555555556
1788079734,150,,Aggregated,44.100000,0.000000,100,170,230,330,470,540,660,840,920,920,920,945,0,100.0,182.1700618072615,22.17487315647304,923.6727061215788,5712.6698412698415
1788079735,150,,Aggregated,43.700000,0.000000,100,170,230,300,460,540,660,840,920,920,920,980,0,100.0,179.42739415091785,22.17487315647304,923.6727061215788,5731.417346938775
1788079736,150,,Aggregated,42.000000,0.000000,99,160,220,280,450,540,640,750,920,920,920,1022,0,99,176.53052422214378,22.17487315647304,923.6727061215788,5771.782778864971
1788079737,150,,Aggregated,41.600000,0.000000,99,160,220,270,440,530,640,750,920,920,920,1061,0,99,174.48237233748702,22.17487315647304,923.6727061215788,5831.762488218662
1788079738,150,,Aggregated,40.400000,0.000000,100,160,220,270,440,530,640,740,920,920,920,1120,0,99,173.71550300782215,21.021990105509758,923.6727061215788,5931.691071428571
1788079739,150,,Aggregated,41.000000,0.000000,98,160,210,260,430,530,630,740,920,920,920,1167,0,98,171.03733832951102,21.021990105509758,923.6727061215788,5943.461868037703
1788079740,150,,Aggregated,41.000000,0.000000,96,160,200,250,420,530,620,700,920,920,920,1214,0,96,167.97544559405554,21.021990105509758,923.6727061215788,5931.708401976935
1788079741,150,,Aggregated,42.600000,0.000000,94,150,200,240,410,520,620,700,920,920,920,1256,0,94,165.5771227121193,21.021990105509758,923.6727061215788,5959.968949044586
1788079742,150,,Aggregated,43.200000,0.000000,94,150,200,230,410,520,620,700,920,920,920,1297,0,94,164.07012736816864,21.021990105509758,923.6727061215788,5965.683114880493
1788079744,150,,Aggregated,43.400000,0.000000,93,150,190,230,400,520,620,690,920,920,920,1332,0,93,162.3408441647171,21.021990105509758,923.6727061215788,5964.6133633633635
1788079745,150,,Aggregated,43.400000,0.000000,95,150,190,230,400,510,620,690,920,920,920,1385,0,95,162.31626880671223,21.021990105509758,923.6727061215788,6048.085920577617
1788079746,150,,Aggregated,43.000000,0.000000,93,150,190,230,400,510,620,690,920,920,920,1424,0,93,160.3720938210347,21.021990105509758,923.6727061215788,6021.205056179775
1788079747,150,,Aggregated,43.000000,0.000000,93,150,190,220,390,510,620,690,920,920,920,1468,0,92,159.01887197379273,21.021990105509758,923.6727061215788,6068.389645776567
1788079748,150,,Aggregated,44.200000,0.000000,92,150,180,220,380,500,620,680,920,920,920,1506,0,92,157.436994485097,21.021990105509758,923.6727061215788,6099.660026560425
1788079749,150,,Aggregated,44.200000,0.000000,92,150,180,220,380,500,610,680,920,920,920,1552,0,92,156.11444038552588,21.021990105509758,923.6727061215788,6102.291881443299
