Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788071277,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788071278,10,,Aggregated,0.000000,0.000000,450,490,650,700,720,720,720,720,720,720,720,20,0,320.0,393.2737026363611,125.84895803593099,722.0337258186191,3505.5
1788071279,20,,Aggregated,0.000000,0.000000,410,470,550,590,700,720,720,720,720,720,720,38,0,410.0,359.50334083999655,54.33466099202633,722.0337258186191,3424.7631578947367
1788071280,30,,Aggregated,0.000000,0.000000,410,480,510,590,700,720,730,740,740,740,740,58,0,410.0,365.63495801890207,54.33466099202633,739.5598711445928,4080.293103448276
1788071281,40,,Aggregated,10.000000,0.000000,390,460,510,590,650,710,730,740,740,740,740,81,0,390.0,347.46163950106245,27.27283607237041,739.5598711445928,4253.913580246914
1788071282,50,,Aggregated,13.333333,0.000000,370,460,510,570,630,710,730,740,740,740,740,98,0,360.0,346.42115557490257,27.27283607237041,739.5598711445928,3983.4285714285716
1788071283,60,,Aggregated,14.750000,0.000000,390,470,540,590,650,720,740,1000,1200,1200,1200,101,0,390.0,363.40299193599805,27.27283607237041,1170.6475929822773,4043.4752475247524
1788071284,70,,Aggregated,14.750000,0.000000,390,470,540,590,650,720,1000,1200,1600,1600,1600,102,0,390.0,375.4162859655551,27.27283607237041,1588.7589829508215,4067.1862745098038
1788071285,80,,Aggregated,16.500000,0.000000,440,540,620,670,2100,2500,2900,3000,3000,3000,3000,115,0,440.0,619.5569758566663,27.27283607237041,2956.6695760004222,4393.321739130435
1788071286,90,,Aggregated,14.571429,0.000000,480,650,2000,2400,3000,3100,3400,3400,3400,3400,3400,138,0,480.0,981.0003560201765,27.27283607237041,3405.556594952941,4677.152173913043
1788071287,100,,Aggregated,12.875000,0.000000,490,700,2000,2500,3100,3200,3400,4000,4000,4000,4000,142,0,490.0,1055.025976118435,27.27283607237041,3992.387183010578,4668.06338028169
1788071288,110,,Aggregated,13.888889,0.000000,620,2500,2900,3100,3800,3800,4000,4000,4200,4200,4200,170,0,610.0,1454.0914064314327,27.27283607237041,4214.409732026979,4499.947058823529
1788071289,120,,Aggregated,14.000000,0.000000,700,2700,3100,3100,3800,3800,4000,4000,4200,4200,4200,186,0,670.0,1611.3046385968726,27.27283607237041,4214.409732026979,4595.8279569892475
1788071290,130,,Aggregated,15.000000,0.000000,1000,2900,3100,3300,3800,4000,4100,4200,4200,4200,4200,200,0,990.0,1747.499011560576,27.27283607237041,4214.409732026979,4778.425
1788071291,140,,Aggregated,16.200000,0.000000,2400,3100,3300,3700,4000,4200,4600,4600,4700,4700,4700,221,0,2400.0,1971.2982018124228,27.27283607237041,4703.389389906079,4726.850678733032
1788071292,150,,Aggregated,14.700000,0.000000,2700,3300,3800,3900,4200,4600,4700,4700,4700,4700,4700,245,0,2700.0,2191.3001561622914,27.27283607237041,4703.389389906079,4767.371428571429
1788071293,150,,Aggregated,14.400000,0.000000,2900,3400,3800,3900,4300,4600,4700,4700,5000,5000,5000,260,0,2900.0,2307.008033766984,27.27283607237041,5006.6967031452805,4771.0192307692305
1788071294,150,,Aggregated,14.300000,0.000000,3000,3800,3900,4000,4600,5000,5200,5300,5500,5500,5500,277,0,3000.0,2472.890429708952,27.27283607237041,5548.778379103169,4789.729241877257
1788071295,150,,Aggregated,15.400000,0.000000,3100,3900,4000,4300,4700,5100,5400,5500,5600,5600,5600,298,0,3100.0,2643.9882268021256,27.27283607237041,5580.403781030327,4764.379194630873
1788071296,150,,Aggregated,16.800000,0.000000,3100,3900,4200,4300,5000,5300,5500,5900,6400,6400,6400,306,0,3100.0,2712.4473961143226,27.27283607237041,6425.1253409311175,4875.767973856209
1788071297,150,,Aggregated,18.000000,0.000000,3200,3900,4300,4600,5100,5600,6100,6200,6600,6600,6600,319,0,3200.0,2844.1945370753824,27.27283607237041,6564.1183839179575,4817.742946708464
1788071298,150,,Aggregated,17.400000,0.000000,3400,4000,4500,4700,5700,6200,6900,6900,7000,7000,7000,338,0,3400.0,3054.574810913571,27.27283607237041,7033.591120969504,4789.378698224852
1788071299,150,,Aggregated,17.700000,0.000000,3400,4100,4600,4800,5900,6400,6900,7000,7700,7700,7700,342,0,3400.0,3102.3342423944337,27.27283607237041,7667.621029075235,4798.6549707602335
